case_id,prompt_mode,prompt,expected_query_type,translation_success,dsl,valid_dsl,parsed_type,execution_success,result_query_type,intent_match,result_summary_json,latency_seconds
quote_call_direct,direct,"Quote a silver call with spot 31, strike 32, 45 days to expiry, 24% volatility, and a 4% rate.",PRICE,True,QUOTE call spot=31 strike=32 expiry=45d vol=24% rate=4%,True,PriceQuery,True,PRICE,True,"{""delta"": 0.3912371669795684, ""gamma"": 0.14700238757115475, ""price"": 0.6877313454963456, ""query_type"": ""PRICE"", ""rho"": 0.014104874996963352, ""theta"": -0.012400494557709989, ""vega"": 0.04180022959242468, ""volatility_used"": 0.24}",0.700451691984199
quote_put_stress_direct,direct,"Price a silver put in a stress backdrop with spot 31, strike 29, 60 days to expiry, and regime volatility.",PRICE,True,PRICE option type=put S=31 K=29 T=60d sigma=kan_regime backdrop=STRESS,True,PriceQuery,True,PRICE,True,"{""delta"": -0.1155793060363508, ""gamma"": 0.0977442548621785, ""price"": 0.11556542194298247, ""query_type"": ""PRICE"", ""rho"": -0.006079765329977846, ""theta"": -0.0027284834980759315, ""vega"": 0.02448347392555865, ""volatility_used"": 0.1585623323917389}",2.2765877220081165
regime_current_direct,direct,What's the current regime for silver?,REGIME_CURRENT,True,REGIME current asset=silver,True,RegimeCurrentQuery,True,REGIME_CURRENT,True,"{""current_regime"": ""RECOVERY"", ""query_type"": ""REGIME_CURRENT""}",0.4829116009641439
regime_prob_direct,direct,What are the odds of moving from stable toward stress over the next 10 days?,REGIME_PROB,True,REGIME odds from=STABLE toward=STRESS horizon=10d,True,RegimeProbQuery,True,REGIME_PROB,True,"{""max_transition_prob"": 0.32175296545028687, ""query_type"": ""REGIME_PROB"", ""target_prob"": 0.32175296545028687}",0.5081308179651387
risk_basket_direct,direct,"Show the basket risk for silver, gold, and DXY in a stress backdrop over 60 days.",COVARIANCE,True,"RISK basket=[silver,gold,dxy] backdrop=STRESS lookback=60d",True,CovarianceQuery,True,COVARIANCE,True,"{""covariance_entries"": 6, ""query_type"": ""COVARIANCE""}",0.49864827300189063
transition_matrix_direct,direct,Show the transition matrix for silver regimes.,TRANSITION,True,TRANSITION matrix asset=silver normalize=true,True,TransitionQuery,True,TRANSITION,True,"{""query_type"": ""TRANSITION""}",0.2972253059851937
scenario_direct,direct,"Run a silver stress scenario and show delta, vega, and price.",WHAT_IF,True,"SCENARIO asset=silver target=STRESS metrics=[delta,vega,price]",True,WhatIfQuery,True,WHAT_IF,True,"{""analysis_delta_delta"": -0.1145067459599427, ""analysis_delta_price"": -34.26112882931176, ""analysis_delta_vega"": 0.0199232543528578, ""query_type"": ""WHAT_IF""}",0.5439870629925281
surface_direct,direct,"Generate a volatility surface for silver in stable regime across strikes 0.9, 1.0, and 1.1 for 30 days.",SURFACE,True,"SURFACE vol asset=silver regime=STABLE strikes=[0.9,1.0,1.1] T=30d",True,SurfaceQuery,True,SURFACE,True,"{""query_type"": ""SURFACE"", ""surface_points"": 3, ""surface_vol_mean"": 1.892286976178487}",0.811947233043611
outlook_direct,direct,Give me the near-term outlook for silver over the next 10 days in a stress backdrop.,OUTLOOK,True,OUTLOOK asset=silver horizon=10d backdrop=STRESS,True,OutlookQuery,True,OUTLOOK,True,"{""confidence"": 0.22398721496151225, ""direction"": ""neutral"", ""flow_regime"": ""UNSETTLED"", ""outlook_score"": 13.452220902093137, ""query_type"": ""OUTLOOK"", ""shock_risk"": ""MODERATE""}",0.8668031559791416
news_outlook_narrative,narrative,"A macro desk note says the Fed has turned more hawkish, the dollar is firm, and cross-asset stress is building in metals. Give me the near-term outlook for silver over the next 10 days.",OUTLOOK,True,OUTLOOK asset=silver horizon=10d backdrop=STRESS,True,OutlookQuery,True,OUTLOOK,True,"{""confidence"": 0.22398721496151225, ""direction"": ""neutral"", ""flow_regime"": ""UNSETTLED"", ""outlook_score"": 13.452220902093137, ""query_type"": ""OUTLOOK"", ""shock_risk"": ""MODERATE""}",0.47053505503572524
news_transition_prob_narrative,narrative,"A research report says the silver complex is moving out of a calm regime and into a more fragile transition, with stress risk rising over the next two weeks. What are the odds of moving from stable toward stress over the next 10 days?",REGIME_PROB,True,REGIME odds from=STABLE toward=STRESS horizon=10d,True,RegimeProbQuery,True,REGIME_PROB,True,"{""max_transition_prob"": 0.32175296545028687, ""query_type"": ""REGIME_PROB"", ""target_prob"": 0.32175296545028687}",0.5068916169693694
news_scenario_narrative,narrative,"A sell-side note argues that hotter inflation and a stronger dollar could push silver into a stress regime quickly. Run a silver stress scenario and show delta, vega, and price.",WHAT_IF,True,"SCENARIO asset=silver target=STRESS metrics=[delta,vega,price]",True,WhatIfQuery,True,WHAT_IF,True,"{""analysis_delta_delta"": -0.1145067459599427, ""analysis_delta_price"": -34.26112882931176, ""analysis_delta_vega"": 0.0199232543528578, ""query_type"": ""WHAT_IF""}",0.47286145499674603
news_surface_narrative,narrative,"A volatility report says the front end should reprice higher while the market sits in transition. Generate a volatility surface for silver in transition regime across strikes 0.9, 1.0, and 1.1 for 30 days.",SURFACE,True,"SURFACE vol asset=silver regime=TRANSITION strikes=[0.9,1.0,1.1] T=30d",True,SurfaceQuery,True,SURFACE,True,"{""query_type"": ""SURFACE"", ""surface_points"": 3, ""surface_vol_mean"": 1.895715554555257}",0.8129733080277219
news_quote_narrative,narrative,"A portfolio manager says silver should stabilize after the current shock, but near-term volatility is still elevated. Quote a silver call with spot 31, strike 32, 45 days to expiry, and regime volatility in recovery.",PRICE,True,QUOTE call spot=31 strike=32 expiry=45d vol=kan_regime backdrop=RECOVERY,True,PriceQuery,True,PRICE,True,"{""delta"": 0.35271601425437343, ""gamma"": 0.1916647615256058, ""price"": 0.44599283746804197, ""query_type"": ""PRICE"", ""rho"": 0.012930661978049016, ""theta"": -0.009434755883634523, ""vega"": 0.04043012042728224, ""volatility_used"": 0.17804087698459625}",0.7072648619650863
news_explain_narrative,narrative,A strategy note keeps referring to transition risk in terms of curvature and network stress. Explain the transition regime using Ricci curvature and MST stress.,EXPLAIN,True,"EXPLAIN regime=TRANSITION features=[ricci_curvature,mst_stress]",True,ExplainQuery,True,EXPLAIN,True,"{""query_type"": ""EXPLAIN""}",0.4649584259605035
