group_id,case_id,prompt_mode,prompt,expected_signature_json,translation_success,dsl,valid_dsl,semantic_signature_json,signature_match,execution_success,result_signature_json,result_query_type,latency_seconds
stress_outlook,stress_outlook_direct,direct,Give me the near-term outlook for silver over the next 10 days in a stress backdrop.,"[""OUTLOOK"", ""silver"", ""STRESS"", 10]",True,OUTLOOK asset=silver horizon=10d backdrop=STRESS,True,"[""OUTLOOK"", ""silver"", ""STRESS"", 10]",True,True,"[""OUTLOOK"", ""silver"", ""STRESS"", ""bullish"", 45.1376, 0.3983, ""MODERATE"", ""TRENDING""]",OUTLOOK,0.9575952159939334
stress_outlook,stress_outlook_narrative,narrative,A macro note says cross-asset stress is building and precious metals are losing support. What is the 10-day outlook for silver if the market is in stress?,"[""OUTLOOK"", ""silver"", ""STRESS"", 10]",True,OUTLOOK asset=silver horizon=10d backdrop=STRESS,True,"[""OUTLOOK"", ""silver"", ""STRESS"", 10]",True,True,"[""OUTLOOK"", ""silver"", ""STRESS"", ""bullish"", 45.1376, 0.3983, ""MODERATE"", ""TRENDING""]",OUTLOOK,0.5496600440237671
stress_outlook,stress_outlook_report_style,document_style,"Analyst excerpt: network stress is elevated, curvature has deteriorated, and the metals complex is now in a fragile stress state. Translate this into a silver outlook over the next 10 days.","[""OUTLOOK"", ""silver"", ""STRESS"", 10]",True,OUTLOOK asset=silver horizon=10d backdrop=STRESS,True,"[""OUTLOOK"", ""silver"", ""STRESS"", 10]",True,True,"[""OUTLOOK"", ""silver"", ""STRESS"", ""bullish"", 45.1376, 0.3983, ""MODERATE"", ""TRENDING""]",OUTLOOK,0.46911871200427413
stress_scenario,stress_scenario_direct,direct,"Run a silver stress scenario and show delta, vega, and price.","[""WHAT_IF"", ""silver"", ""STRESS"", [""delta"", ""price"", ""vega""]]",True,"SCENARIO asset=silver target=STRESS metrics=[delta,vega,price]",True,"[""WHAT_IF"", ""silver"", ""STRESS"", [""delta"", ""price"", ""vega""]]",True,True,"[""WHAT_IF"", ""silver"", ""STRESS"", -33.7562, -0.1207, 0.0205]",WHAT_IF,0.5420004770276137
stress_scenario,stress_scenario_narrative,narrative,"A desk note warns that a rapid stress regime could hit silver. Show the scenario impact on price, delta, and vega.","[""WHAT_IF"", ""silver"", ""STRESS"", [""delta"", ""price"", ""vega""]]",True,"SCENARIO asset=silver target=STRESS metrics=[price,delta,vega]",True,"[""WHAT_IF"", ""silver"", ""STRESS"", [""delta"", ""price"", ""vega""]]",True,True,"[""WHAT_IF"", ""silver"", ""STRESS"", -33.7562, -0.1207, 0.0205]",WHAT_IF,0.5521235520136543
stress_scenario,stress_scenario_report_style,document_style,"Report excerpt: rising dollar pressure and volatility stress could push silver into a full stress regime. Compile that into a scenario request with price, delta, and vega.","[""WHAT_IF"", ""silver"", ""STRESS"", [""delta"", ""price"", ""vega""]]",True,"SCENARIO asset=silver target=STRESS metrics=[price,delta,vega]",True,"[""WHAT_IF"", ""silver"", ""STRESS"", [""delta"", ""price"", ""vega""]]",True,True,"[""WHAT_IF"", ""silver"", ""STRESS"", -33.7562, -0.1207, 0.0205]",WHAT_IF,0.46920271997805685
transition_surface,transition_surface_direct,direct,"Generate a volatility surface for silver in transition regime across strikes 0.9, 1.0, and 1.1 for 30 days.","[""SURFACE"", ""silver"", ""TRANSITION"", [0.9, 1.0, 1.1], 30]",True,"SURFACE vol asset=silver regime=TRANSITION strikes=[0.9,1.0,1.1] T=30d",True,"[""SURFACE"", ""silver"", ""TRANSITION"", [0.9, 1.0, 1.1], 30]",True,True,"[""SURFACE"", ""silver"", ""TRANSITION"", 3, 1.915]",SURFACE,0.8122357900138013
transition_surface,transition_surface_narrative,narrative,"A vol strategist says the market is no longer stable and the front end is repricing in transition. Show the silver 30-day vol surface at moneyness 0.9, 1.0, and 1.1.","[""SURFACE"", ""silver"", ""TRANSITION"", [0.9, 1.0, 1.1], 30]",True,"SURFACE vol asset=silver regime=TRANSITION strikes=[0.9,0.95,1.0,1.05,1.1] T=30d",True,"[""SURFACE"", ""silver"", ""TRANSITION"", [0.9, 0.95, 1.0, 1.05, 1.1], 30]",False,True,"[""SURFACE"", ""silver"", ""TRANSITION"", 5, 1.915]",SURFACE,1.0278679929906502
transition_surface,transition_surface_report_style,document_style,"Research excerpt: the silver complex is rotating into transition and the surface should be viewed around 90%, 100%, and 110% moneyness for one month. Construct the corresponding surface request.","[""SURFACE"", ""silver"", ""TRANSITION"", [0.9, 1.0, 1.1], 30]",True,"SURFACE vol asset=silver regime=TRANSITION strikes=[0.9,1.0,1.1] T=30d",True,"[""SURFACE"", ""silver"", ""TRANSITION"", [0.9, 1.0, 1.1], 30]",True,True,"[""SURFACE"", ""silver"", ""TRANSITION"", 3, 1.915]",SURFACE,0.8174848880153149
stress_probability,stress_probability_direct,direct,What are the odds of moving from stable toward stress over the next 10 days?,"[""REGIME_PROB"", ""STABLE"", ""STRESS"", 10]",True,REGIME odds from=STABLE toward=STRESS horizon=10d,True,"[""REGIME_PROB"", ""STABLE"", ""STRESS"", 10]",True,True,"[""REGIME_PROB"", ""STABLE"", ""STRESS"", 0.3218]",REGIME_PROB,0.47957631200551987
stress_probability,stress_probability_narrative,narrative,A strategy note says the calm market is breaking down and stress risk is rising over the next two weeks. What is the probability of a stable-to-stress move over the next 10 days?,"[""REGIME_PROB"", ""STABLE"", ""STRESS"", 10]",True,REGIME prob from=STABLE to=STRESS horizon=10d,True,"[""REGIME_PROB"", ""STABLE"", ""STRESS"", 10]",True,True,"[""REGIME_PROB"", ""STABLE"", ""STRESS"", 0.3218]",REGIME_PROB,0.501154167985078
